0,1,2,3,4,5,6
134.0,134.0,0.0,45.0,157.0,1008.0,10528.0
100.0,200.0,20.0,200.0,200.0,1000.0,10000.0
0.0,225.0,3.0,110.0,225.0,785.0,4500.0
105.0,125.0,10.0,166.0,71.0,2000.0,18000.0
100.0,50.0,15.0,50.0,65.0,500.0,5000.0
100.0,70.0,10.0,170.0,70.0,1000.0,10000.0
150.0,0.0,8.0,220.0,0.0,0.0,0.0
0.0,224.0,5.0,112.0,224.0,2150.0,6720.0
200.0,50.0,3.0,200.0,50.0,1000.0,20000.0
85.0,0.0,70.0,35.0,80.0,0.0,0.0
175.0,0.0,3.0,375.0,100.0,0.0,0.0
80.0,0.0,4.0,100.0,200.0,800.0,0.0
150.0,0.0,15.0,100.0,200.0,1000.0,10000.0
125.0,100.0,20.0,150.0,100.0,500.0,6000.0
200.0,3.0,0.0,200.0,50.0,1000.0,20000.0
50.0,30.0,5.0,0.0,0.0,0.0,0.0
100.0,70.0,10.0,170.0,70.0,1000.0,10000.0
95.0,280.0,10.0,150.0,250.0,700.0,8000.0
60.0,40.0,3.0,60.0,50.0,540.0,5100.0
84.0,79.0,56.0,166.0,52.0,673.0,8068.0
66.0,111.0,15.0,110.0,90.0,865.0,12670.0
235.0,180.0,336.0,145.0,270.0,672.0,4256.0
250.0,150.0,150.0,250.0,150.0,1000.0,10000.0
150.0,0.0,150.0,220.0,0.0,0.0,0.0
200.0,50.0,30.0,200.0,50.0,1000.0,20000.0
134.0,224.0,154.0,224.0,550.0,672.0,3584.0
250.0,0.0,280.0,150.0,15.0,0.0,0.0
150.0,0.0,22.0,320.0,80.0,0.0,0.0
0.0,150.0,150.0,200.0,550.0,800.0,5000.0
150.0,0.0,150.0,200.0,200.0,1000.0,10000.0
200.0,100.0,50.0,100.0,100.0,500.0,10000.0
250.0,190.0,180.0,250.0,180.0,1000.0,10000.0
75.0,35.0,80.0,110.0,50.0,400.0,5300.0
151.0,131.0,266.0,250.0,73.0,848.0,11818.0
8288.0,1120.0,19712.0,1344.0,784.0,448.0,5600.0
